Month_Date,Volume_Mn,Value_Cr,Year,Month_Name,Month_Num,Quarter,id
2021-05-01,2539.56,490361,2021,May,5,Q2,1
2021-06-01,2807.52,547373,2021,June,6,Q2,2
2021-07-01,3247.82,605883,2021,July,7,Q3,3
2021-08-01,3555.55,639117,2021,August,8,Q3,4
2021-09-01,3654.3,654648,2021,September,9,Q3,5
2021-10-01,4218.64,771407,2021,October,10,Q4,6
2021-11-01,4186.48,768436,2021,November,11,Q4,7
2021-12-01,4566.3,826848,2021,December,12,Q4,8
2022-01-01,4617.16,831993,2022,January,1,Q1,9
2022-02-01,4527.49,826843,2022,February,2,Q1,10
2022-03-01,5405.65,960582,2022,March,3,Q1,11
2022-04-01,5583.05,970038,2022,April,4,Q2,12
2022-05-01,5955.2,1040220,2022,May,5,Q2,13
2022-06-01,5862.75,1014410,2022,June,6,Q2,14
2022-07-01,6288.4,1063120,2022,July,7,Q3,15
2022-08-01,6579.63,1073160,2022,August,8,Q3,16
2022-09-01,6780.8,1116440,2022,September,9,Q3,17
2022-10-01,7305.42,1211590,2022,October,10,Q4,18
2022-11-01,7309.46,1190590,2022,November,11,Q4,19
2022-12-01,7829.49,1281970,2022,December,12,Q4,20
2023-01-01,8036.89,1299060,2023,January,1,Q1,21
2023-02-01,7534.76,1235850,2023,February,2,Q1,22
2023-03-01,8685.3,1404950,2023,March,3,Q1,23
2023-04-01,8863.26,1415500,2023,April,4,Q2,24
2023-05-01,9415.19,1489150,2023,May,5,Q2,25
2023-06-01,9335.06,1475460,2023,June,6,Q2,26
2023-07-01,9964.26,1533540,2023,July,7,Q3,27
2023-08-01,10586,1576540,2023,August,8,Q3,28
2023-09-01,10555.7,1579130,2023,September,9,Q3,29
2023-10-01,11408.8,1715770,2023,October,10,Q4,30
2023-11-01,11235.3,1739740,2023,November,11,Q4,31
2023-12-01,12020.2,1822950,2023,December,12,Q4,32
2024-01-01,12203,1841080,2024,January,1,Q1,33
2024-02-01,12102.7,1827870,2024,February,2,Q1,34
2024-03-01,13440,1978350,2024,March,3,Q1,35
2024-04-01,13304,1964460,2024,April,4,Q2,36
2024-05-01,14035.8,2044940,2024,May,5,Q2,37
2024-06-01,13885.1,2007080,2024,June,6,Q2,38
2024-07-01,14435.5,2064290,2024,July,7,Q3,39
2024-08-01,14963,2060740,2024,August,8,Q3,40
2024-09-01,15041.8,2063990,2024,September,9,Q3,41
2024-10-01,16585,2349820,2024,October,10,Q4,42
2024-11-01,15482,2155190,2024,November,11,Q4,43
2024-12-01,16730,2324700,2024,December,12,Q4,44
